run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_adam_lr0_01,1,adam,32,0.01,0.4086,1.8752,0.6327,1.1357
mlp_1x512_bs32_adam_lr0_01,2,adam,32,0.01,0.5158,1.481,0.6553,1.0214
mlp_1x512_bs32_adam_lr0_01,3,adam,32,0.01,0.5342,1.4148,0.6833,1.0169
mlp_1x512_bs32_adam_lr0_01,4,adam,32,0.01,0.5281,1.4178,0.682,0.9841
mlp_1x512_bs32_adam_lr0_01,5,adam,32,0.01,0.5301,1.4097,0.7067,0.9295
mlp_1x512_bs32_adam_lr0_01,6,adam,32,0.01,0.5273,1.4243,0.6667,0.9879
mlp_1x512_bs32_adam_lr0_01,7,adam,32,0.01,0.5307,1.4111,0.686,0.9957
mlp_1x512_bs32_adam_lr0_01,8,adam,32,0.01,0.5248,1.4217,0.666,0.9866
mlp_1x512_bs32_adam_lr0_01,9,adam,32,0.01,0.5288,1.4272,0.692,0.9566
mlp_1x512_bs32_adam_lr0_01,10,adam,32,0.01,0.5251,1.4339,0.6873,0.9372
mlp_1x512_bs32_sgd_lr0_01,1,sgd,32,0.01,0.3879,1.9181,0.6207,1.1807
mlp_1x512_bs32_sgd_lr0_01,2,sgd,32,0.01,0.5154,1.4783,0.71,0.9221
mlp_1x512_bs32_sgd_lr0_01,3,sgd,32,0.01,0.5766,1.2934,0.764,0.7488
mlp_1x512_bs32_sgd_lr0_01,4,sgd,32,0.01,0.6132,1.1643,0.7833,0.7054
mlp_1x512_bs32_sgd_lr0_01,5,sgd,32,0.01,0.6422,1.0809,0.8007,0.6345
mlp_1x512_bs32_sgd_lr0_01,6,sgd,32,0.01,0.6578,1.0316,0.8153,0.6058
mlp_1x512_bs32_sgd_lr0_01,7,sgd,32,0.01,0.6723,0.9754,0.8313,0.5623
mlp_1x512_bs32_sgd_lr0_01,8,sgd,32,0.01,0.6843,0.9362,0.83,0.5541
mlp_1x512_bs32_sgd_lr0_01,9,sgd,32,0.01,0.6976,0.9038,0.8393,0.5241
mlp_1x512_bs32_sgd_lr0_01,10,sgd,32,0.01,0.7068,0.8823,0.842,0.5047
mlp_1x512_bs32_sgd_lr0_01,11,sgd,32,0.01,0.7112,0.8559,0.858,0.4723
mlp_1x512_bs32_sgd_lr0_01,12,sgd,32,0.01,0.7191,0.8345,0.852,0.4866
mlp_1x512_bs32_sgd_lr0_01,13,sgd,32,0.01,0.7301,0.8097,0.8613,0.4655
mlp_1x512_bs32_sgd_lr0_01,14,sgd,32,0.01,0.7289,0.8064,0.868,0.4579
mlp_1x512_bs32_sgd_lr0_01,15,sgd,32,0.01,0.7397,0.7822,0.8707,0.4301
mlp_1x512_bs32_sgd_lr0_01,16,sgd,32,0.01,0.7448,0.7646,0.864,0.4294
mlp_1x512_bs32_sgd_lr0_01,17,sgd,32,0.01,0.7424,0.7619,0.8773,0.4212
mlp_1x512_bs32_sgd_lr0_01,18,sgd,32,0.01,0.7534,0.7467,0.8687,0.426
mlp_1x512_bs32_sgd_lr0_01,19,sgd,32,0.01,0.7478,0.754,0.8787,0.4237
mlp_1x512_bs32_sgd_lr0_01,20,sgd,32,0.01,0.755,0.7376,0.882,0.4021
mlp_1x512_bs32_sgd_lr0_01,21,sgd,32,0.01,0.7582,0.7228,0.872,0.4078
mlp_1x512_bs32_sgd_lr0_01,22,sgd,32,0.01,0.7653,0.7204,0.8933,0.3821
mlp_1x512_bs32_sgd_lr0_01,23,sgd,32,0.01,0.7553,0.7267,0.8767,0.4093
mlp_1x512_bs32_sgd_lr0_01,24,sgd,32,0.01,0.7629,0.7084,0.8887,0.3782
mlp_1x512_bs32_sgd_lr0_01,25,sgd,32,0.01,0.7645,0.7123,0.896,0.3758
mlp_1x512_bs32_sgd_lr0_01,26,sgd,32,0.01,0.7667,0.6991,0.9027,0.3666
mlp_1x512_bs32_sgd_lr0_01,27,sgd,32,0.01,0.7648,0.6963,0.8947,0.3725
mlp_1x512_bs32_sgd_lr0_01,28,sgd,32,0.01,0.7743,0.6906,0.894,0.3597
mlp_1x512_bs32_sgd_lr0_01,29,sgd,32,0.01,0.7728,0.683,0.898,0.3512
mlp_1x512_bs32_sgd_lr0_01,30,sgd,32,0.01,0.7672,0.6907,0.8873,0.3724
mlp_1x512_bs32_sgd_lr0_01,31,sgd,32,0.01,0.775,0.687,0.892,0.3662
mlp_1x512_bs32_adam_lr0_001,1,adam,32,0.001,0.4166,1.8428,0.6233,1.2595
mlp_1x512_bs32_adam_lr0_001,2,adam,32,0.001,0.546,1.4205,0.6987,0.9792
mlp_1x512_bs32_adam_lr0_001,3,adam,32,0.001,0.5902,1.2611,0.7527,0.8366
mlp_1x512_bs32_adam_lr0_001,4,adam,32,0.001,0.6279,1.1438,0.7607,0.7657
mlp_1x512_bs32_adam_lr0_001,5,adam,32,0.001,0.6452,1.0957,0.796,0.7093
mlp_1x512_bs32_adam_lr0_001,6,adam,32,0.001,0.6615,1.035,0.79,0.6828
mlp_1x512_bs32_adam_lr0_001,7,adam,32,0.001,0.6729,0.9928,0.8047,0.6466
mlp_1x512_bs32_adam_lr0_001,8,adam,32,0.001,0.6807,0.9672,0.83,0.599
mlp_1x512_bs32_adam_lr0_001,9,adam,32,0.001,0.6844,0.9441,0.8187,0.5891
